Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCH24,2023-11-24,487.5,489.25,481.75,482.5,-5.25,-1.08%,288517,1373793
ZCH24,2023-11-22,488.25,493.25,487,487.75,-1.25,-0.26%,316856,1426767
ZCH24,2023-11-21,487.5,493.25,486,489,1.5,+0.31%,388518,1431159
ZCH24,2023-11-20,485.5,488.25,482.5,487.5,2.25,+0.46%,302171,1437171
ZCH24,2023-11-17,493.25,493.5,485,485.25,-8.,-1.62%,303179,1440762
ZCH24,2023-11-16,488.75,494.25,483.5,493.25,4.75,+0.97%,401052,1442394
ZCH24,2023-11-15,493.75,496.5,485,488.5,10.25,+2.14%,539297,1447833
ZCZ23,2023-11-14,477,480,473,478.25,1,+0.21%,386264,1448933
ZCZ23,2023-11-13,463.25,477.75,461,477.25,13.25,+2.86%,513515,1451398
ZCZ23,2023-11-10,468,469,461.75,464,-4.,-0.85%,488924,1443977
ZCZ23,2023-11-09,475,476,466.5,468,-8.,-1.68%,571725,1437220
ZCZ23,2023-11-08,469,480.5,468.5,476,7.5,+1.60%,692886,1428964
ZCZ23,2023-11-07,477,477.5,468,468.5,-8.75,-1.83%,439842,1436125
ZCZ23,2023-11-06,477.25,480.75,476.75,477.25,0,0.00%,258399,1427170
ZCZ23,2023-11-03,470,481.25,468,477.25,7.25,+1.54%,370057,1426188
ZCZ23,2023-11-02,475,477,469.5,470,-5.,-1.05%,412765,1418157
ZCZ23,2023-11-01,478.75,480,472.5,475,-3.75,-0.78%,324034,1426041
ZCZ23,2023-10-31,478.25,483,477.5,478.75,0.5,+0.10%,263487,1412108
ZCZ23,2023-10-30,480,484.25,477.5,478.25,-2.5,-0.52%,243179,1405163
ZCZ23,2023-10-27,479.25,484,478.25,480.75,1.5,+0.31%,213859,1403426
ZCZ23,2023-10-26,480,484.25,477.5,479.25,-0.75,-0.16%,334917,1397892
ZCZ23,2023-10-25,483.5,486,476.75,480,-4.,-0.83%,290821,1405373
ZCZ23,2023-10-24,490.75,491.5,482.75,484,-6.25,-1.27%,253087,1401898
ZCZ23,2023-10-23,494.25,497,490.25,490.25,-5.25,-1.06%,204438,1399950
ZCZ23,2023-10-20,504,509.5,495,495.5,-9.5,-1.88%,460114,1400820
ZCZ23,2023-10-19,492,505.5,490.25,505,13,+2.64%,519167,1407389
ZCZ23,2023-10-18,488.5,494,488.5,492,3,+0.61%,189952,1360294
ZCZ23,2023-10-17,490,492.75,487.75,489,-1.,-0.20%,164891,1360702
ZCZ23,2023-10-16,493.5,496.75,489.5,490,-3.25,-0.66%,181935,1356760
ZCZ23,2023-10-13,495,498.75,490.5,493.25,-2.75,-0.55%,216274,1359085
ZCZ23,2023-10-12,487.75,498.75,482.25,496,8,+1.64%,335119,1357196
ZCZ23,2023-10-11,485.5,488.5,483.5,488,2.5,+0.51%,172697,1364190
ZCZ23,2023-10-10,488,488.25,484.25,485.5,-2.75,-0.56%,183122,1357079
ZCZ23,2023-10-09,492,497,487.25,488.25,-3.75,-0.76%,192218,1350664
ZCZ23,2023-10-06,496,499,491.5,492,-5.5,-1.11%,203262,1353766
ZCZ23,2023-10-05,486,498.5,482.5,497.5,11.5,+2.37%,321495,1358033
ZCZ23,2023-10-04,487.5,489.75,482.5,486,-1.5,-0.31%,223299,1365973
ZCZ23,2023-10-03,488,489.25,484.25,487.5,-1.25,-0.26%,218599,1367904
ZCZ23,2023-10-02,477,489.75,476,488.75,12,+2.52%,237392,1371308
ZCZ23,2023-09-29,487.5,490,475.5,476.75,-11.75,-2.41%,334047,1358967
ZCZ23,2023-09-28,483.75,489.25,481,488.5,5.25,+1.09%,175171,1348954
ZCZ23,2023-09-27,479.75,486.75,479,483.25,3.5,+0.73%,205587,1346338
ZCZ23,2023-09-26,481,483.5,476.5,479.75,-1.5,-0.31%,179952,1339607
ZCZ23,2023-09-25,475.25,482.5,473.75,481.25,4,+0.84%,164683,1338026
ZCZ23,2023-09-22,475,478.5,474.25,477.25,2,+0.42%,150955,1329412
ZCZ23,2023-09-21,481,482.5,474,475.25,-7.,-1.45%,197463,1321308
ZCZ23,2023-09-20,476,483,474.5,482.25,6,+1.26%,288814,1311309
ZCZ23,2023-09-19,471.25,477,467.75,476.25,4.75,+1.01%,236244,1292194
ZCZ23,2023-09-18,475.25,478.75,469,471.5,-4.75,-1.00%,234112,1278165
ZCZ23,2023-09-15,480,483.5,475,476.25,-4.25,-0.88%,194685,1260772
ZCZ23,2023-09-14,482,484.75,478.25,480.5,-1.75,-0.36%,193995,1256554
ZCZ23,2023-09-13,476.5,482.75,474.5,482.25,5.75,+1.21%,254720,1264913
ZCZ23,2023-09-12,485,486.75,473.5,476.5,-9.25,-1.90%,305981,1268176
ZCZ23,2023-09-11,483,486.75,480.75,485.75,2,+0.41%,229485,1260841
ZCZ23,2023-09-08,486,488.75,482,483.75,-2.5,-0.51%,183352,1257065
ZCZ23,2023-09-07,485,488.5,483.25,486.25,0.5,+0.10%,197187,1256937
ZCZ23,2023-09-06,488,490.25,483.25,485.75,-0.25,-0.05%,191589,1248488
ZCZ23,2023-09-05,482.25,488.75,478.5,486,4.5,+0.93%,218685,1229700
ZCZ23,2023-09-01,478,485.25,477.5,481.5,3.25,+0.68%,188367,1221832
ZCZ23,2023-08-31,481,486.5,476.75,478.25,-2.5,-0.52%,237714,1209635
ZCZ23,2023-08-30,486.75,491.75,479.5,480.75,-6.,-1.23%,354791,1199704
ZCZ23,2023-08-29,494.25,499.5,485.5,486.75,-9.5,-1.91%,348684,1214917
ZCZ23,2023-08-28,494.5,497.5,489.25,496.25,8.25,+1.69%,273965,1245794
ZCZ23,2023-08-25,487.25,493,485.75,488,-0.25,-0.05%,279681,1260527
ZCZ23,2023-08-24,490.5,494.5,483.5,488.25,-2.25,-0.46%,333510,1295668
ZCZ23,2023-08-23,480,492.25,478.5,490.5,11,+2.29%,287609,1294794
ZCZ23,2023-08-22,482.25,485.5,474.25,479.5,-3.,-0.62%,263667,1301339
ZCZ23,2023-08-21,500.5,506.25,481.25,482.5,-10.5,-2.13%,287992,1301432
ZCZ23,2023-08-18,486,495,484.75,493,7.25,+1.49%,231669,1308994
ZCZ23,2023-08-17,482,487.75,476.75,485.75,4.25,+0.88%,223328,1309779
ZCZ23,2023-08-16,474.75,484.5,473.5,481.5,6,+1.26%,249182,1308138
ZCZ23,2023-08-15,485,485.5,473.75,475.5,-12.25,-2.51%,290198,1287019
ZCZ23,2023-08-14,489.5,492.25,481,487.75,0.5,+0.10%,242719,1272305
ZCZ23,2023-08-11,496,507.5,483,487.25,-9.,-1.81%,551600,1259502
ZCZ23,2023-08-10,495,498,493.25,496.25,2,+0.40%,260838,1263557
ZCZ23,2023-08-09,499,502.75,493,494.25,-4.5,-0.90%,329545,1270399
ZCZ23,2023-08-08,495.75,501.25,490.5,498.75,3,+0.61%,352436,1284433
ZCZ23,2023-08-07,497.75,501,489.25,495.75,-1.5,-0.30%,447980,1292226
ZCZ23,2023-08-04,495.75,506.5,493,497.25,3.75,+0.76%,321313,1309129
ZCZ23,2023-08-03,499,502.75,493,493.5,-7.,-1.40%,343119,1303127
